Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
8,mois,month
9,frère,brother
11,car,because
12,mettre,to put
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,bébé,baby
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,compris,understood
26,attention,Warning
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
33,corps,body
34,endroit,place
35,yeux,eyes
36,façon,way
37,écoute,listen
38,dont,whose
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,vieux,old
46,sois,be
47,matin,morning
48,enfant,child
49,venu,came
50,suite,after
51,pardon,sorry
53,vers,towards
54,demandé,request
55,chambre,bedroom
56,belle,beautiful
57,droit,law
58,mari,husband
59,cause,cause
60,enfin,finally
61,espère,hope
62,eau,water
63,attendez,Wait
64,boulot,job
65,arrêter,Stop
66,compte,account
67,donne,given
68,loin,far
69,fin,end
70,croire,believe
71,chérie,sweetheart
72,gros,large
73,plutôt,rather
74,aura,will have
75,jouer,to play
76,bureau,office
